Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
;WK018004;Wijk 04 IJhorst;27.7
;WK018005;Wijk 05 Punthorst;24.3
;WK018006;Wijk 06 Lankhorst;24.6
;WK018007;Wijk 07 Klooster;.
GM0183;Totaal;Tubbergen;25.7
;WK018300;Wijk 00 Tubbergen;25.8
;WK018301;Wijk 01 Albergen;26.1
;WK018302;Wijk 02 Harbrinkhoek;26.5
;WK018303;Wijk 03 Geesteren;25.3
;WK018304;Wijk 04 Langeveen;23.7
;WK018305;Wijk 05 Vasse;25.4
;WK018306;Wijk 06 Reutum;26.1
;WK018307;Wijk 07 Fleringen;25.5
GM0184;Totaal;Urk;21.1
;WK018400;Wijk 00 Urk;21.1
GM0189;Totaal;Wierden;26.7
;WK018900;Wijk 00 Wierden (kern);26.2
;WK018901;Wijk 01 Landelijk gebied Wierden;31.3
;WK018902;Wijk 02 Hooge-Hexel;25.1
;WK018903;Wijk 03 Enter (kern);26.4
;WK018904;Wijk 04 Landelijk gebied Enter;27
;WK018905;Wijk 05 Rectum - Notter - Zuna;27.9
GM0193;Totaal;Zwolle;27.3
;WK019310;Wijk 10 Binnenstad;35.9
;WK019311;Wijk 11 Diezerpoort;24.3
;WK019312;Wijk 12 Wipstrik;30.8
;WK019313;Wijk 13 Assendorp;28.4
;WK019314;Wijk 14 Kamperpoort-Veerallee;29.7
;WK019320;Wijk 20 Poort van Zwolle;29.6
;WK019321;Wijk 21 Westenholte;24.9
;WK019322;Wijk 22 Stadshagen;27.4
;WK019330;Wijk 30 Holtenbroek;21.5
;WK019331;Wijk 31 Aa-landen;24.8
;WK019332;Wijk 32 Vechtlanden;40.4
;WK019340;Wijk 40 Berkum;29.4
;WK019341;Wijk 41 Marsweteringlanden;28.4
;WK019350;Wijk 50 Schelle;30.3
;WK019351;Wijk 51 Ittersum;26.6
;WK019352;Wijk 52 Soestweteringlanden;28
GM0197;Totaal;Aalten;24.4
;WK019701;Wijk 01 Buitengebied Aalten;25.3
